+----------+----------+--------------+--------------+
|    x1    |    x2    |     f12      |     f21      |
|   0.01   |   0.89   |   52.9842    |   129.8191   |
|   0.01   |   0.90   |   53.4437    |   130.0614   |
|   0.01   |   0.91   |   53.9032    |   130.3072   |
|   0.01   |   0.92   |   54.3626    |   130.5566   |
|   0.01   |   0.93   |   54.8221    |   130.8096   |
|   0.01   |   0.94   |   55.2815    |   131.0662   |
|   0.01   |   0.95   |   55.7409    |   131.3264   |
|   0.01   |   0.96   |   56.2004    |   131.5902   |
|   0.01   |   0.97   |   56.6598    |   131.8577   |
|   0.01   |   0.98   |   57.1192    |   132.1287   |
|   0.01   |   0.99   |   57.5786    |   132.4033   |
|   0.01   |   1.00   |   58.0380    |   132.6815   |
|   0.01   |   1.01   |   58.4974    |   132.9633   |
|   0.01   |   1.02   |   58.9568    |   133.2487   |
|   0.01   |   1.03   |   59.4162    |   133.5377   |
|   0.01   |   1.04   |   59.8756    |   133.8304   |
|   0.01   |   1.05   |   60.3349    |   134.1266   |
|   0.01   |   1.06   |   60.7943    |   134.4264   |
|   0.01   |   1.07   |   61.2537    |   134.7298   |
|   0.01   |   1.08   |   61.7130    |   135.0368   |
|   0.01   |   1.09   |   62.1724    |   135.3474   |
|   0.01   |   1.10   |   62.6317    |   135.6617   |
|   0.01   |   1.11   |   63.0910    |   135.9795   |
|   0.01   |   1.12   |   63.5504    |   136.3009   |
|   0.01   |   1.13   |   64.0097    |   136.6259   |
|   0.01   |   1.14   |   64.4690    |   136.9545   |
|   0.01   |   1.15   |   64.9283    |   137.2867   |
|   0.01   |   1.16   |   65.3876    |   137.6225   |
|   0.01   |   1.17   |   65.8469    |   137.9620   |
|   0.01   |   1.18   |   66.3062    |   138.3050   |
|   0.01   |   1.19   |   66.7655    |   138.6516   |
|   0.01   |   1.20   |   67.2248    |   139.0018   |
|   0.01   |   1.21   |   67.6841    |   139.3556   |
|   0.01   |   1.22   |   68.1433    |   139.7130   |
|   0.01   |   1.23   |   68.6026    |   140.0740   |
|   0.01   |   1.24   |   69.0619    |   140.4387   |
|   0.01   |   1.25   |   69.5211    |   140.8069   |
|   0.01   |   1.26   |   69.9804    |   141.1787   |
|   0.01   |   1.27   |   70.4396    |   141.5541   |
|   0.01   |   1.28   |   70.8988    |   141.9331   |
|   0.01   |   1.29   |   71.3581    |   142.3157   |
|   0.01   |   1.30   |   71.8173    |   142.7020   |
|   0.01   |   1.31   |   72.2765    |   143.0918   |
|   0.01   |   1.32   |   72.7357    |   143.4852   |
|   0.01   |   1.33   |   73.1949    |   143.8822   |
|   0.01   |   1.34   |   73.6541    |   144.2828   |
|   0.01   |   1.35   |   74.1133    |   144.6870   |
|   0.01   |   1.36   |   74.5725    |   145.0948   |
|   0.01   |   1.37   |   75.0317    |   145.5063   |
|   0.01   |   1.38   |   75.4909    |   145.9213   |
|   0.01   |   1.39   |   75.9500    |   146.3399   |
|   0.01   |   1.40   |   76.4092    |   146.7621   |
|   0.01   |   1.41   |   76.8684    |   147.1879   |
|   0.01   |   1.42   |   77.3275    |   147.6173   |
|   0.01   |   1.43   |   77.7867    |   148.0503   |
|   0.01   |   1.44   |   78.2458    |   148.4870   |
|   0.01   |   1.45   |   78.7049    |   148.9272   |
|   0.01   |   1.46   |   79.1641    |   149.3710   |
|   0.01   |   1.47   |   79.6232    |   149.8184   |
|   0.01   |   1.48   |   80.0823    |   150.2694   |
|   0.01   |   1.49   |   80.5414    |   150.7240   |
|   0.01   |   1.50   |   81.0005    |   151.1823   |
|   0.01   |   1.51   |   81.4596    |   151.6441   |
|   0.01   |   1.52   |   81.9187    |   152.1095   |
|   0.01   |   1.53   |   82.3778    |   152.5785   |
|   0.01   |   1.54   |   82.8369    |   153.0511   |
|   0.01   |   1.55   |   83.2959    |   153.5273   |
|   0.01   |   1.56   |   83.7550    |   154.0071   |
|   0.01   |   1.57   |   84.2141    |   154.4906   |
|   0.01   |   1.58   |   84.6731    |   154.9776   |
|   0.01   |   1.59   |   85.1322    |   155.4682   |
|   0.01   |   1.60   |   85.5912    |   155.9624   |
|   0.01   |   1.61   |   86.0502    |   156.4602   |
|   0.01   |   1.62   |   86.5093    |   156.9616   |
|   0.01   |   1.63   |   86.9683    |   157.4666   |
|   0.01   |   1.64   |   87.4273    |   157.9753   |
|   0.01   |   1.65   |   87.8863    |   158.4875   |
|   0.01   |   1.66   |   88.3453    |   159.0033   |
|   0.01   |   1.67   |   88.8043    |   159.5227   |
|   0.01   |   1.68   |   89.2633    |   160.0457   |
|   0.01   |   1.69   |   89.7223    |   160.5723   |
|   0.01   |   1.70   |   90.1813    |   161.1026   |
|   0.01   |   1.71   |   90.6403    |   161.6364   |
|   0.01   |   1.72   |   91.0992    |   162.1738   |
|   0.01   |   1.73   |   91.5582    |   162.7148   |
|   0.01   |   1.74   |   92.0172    |   163.2594   |
|   0.01   |   1.75   |   92.4761    |   163.8076   |
|   0.01   |   1.76   |   92.9351    |   164.3594   |
